session,trial_id,choice_left,decision_time_ms,signed_contrast,random_seed
zadorlab | CSH_ZAD_026 | 2020-08-17,524,0,168.91118328976518,0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,526,0,2343.4730732583375,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,532,1,2832.4831731570157,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,537,1,3991.163493080876,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,539,1,234.07858305108675,1.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,541,1,2459.473513022658,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,548,1,3633.8572329227645,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,550,1,125.16717289645385,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,551,1,157.08731288532363,0.25,0
zadorlab | CSH_ZAD_026 | 2020-08-17,561,0,164.21093277494947,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,566,0,102.24594271494425,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,575,0,109.28953261691277,0.125,0
zadorlab | CSH_ZAD_026 | 2020-08-17,577,0,115.21791259247038,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,579,0,203.68647256782424,0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,581,0,164.36972253950444,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,596,1,621.1769323754197,1.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,598,0,134.65515235384373,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,601,0,202.9885923184338,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,603,0,110.35200229207476,0.25,0
zadorlab | CSH_ZAD_026 | 2020-08-17,619,1,227.37749209454705,0.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,621,0,113.88435206845315,-0.0625,0
zadorlab | CSH_ZAD_026 | 2020-08-17,624,0,123.05263203643335,1.0,0
zadorlab | CSH_ZAD_026 | 2020-08-17,629,1,145.69945197490597,0.0,0
