source,source_bits,target,target_bits,probability,n_common_networks,choice,responsiveness,pliancy
3,[0011],14,[1110],0.0006317119393556538,64,8.278708249144632,19.296470616181754,2.824840652050495
7,[0111],11,[1011],0.031096563011456628,118,26.327359395599743,6.416044971833636,1.3251336332432397
7,[0111],15,[1111],0.19967266775777415,128,13.52162346355608,16.2056639587401,5.063800904648352
7,[0111],3,[0011],0.12029459901800327,101,15.470057808784745,-9.580859786324535,-4.845942619802036
7,[0111],5,[0101],0.041734860883797055,153,-12.88007813020683,-11.837586486504776,-7.846494544284839
7,[0111],1,[0001],0.008183306055646482,124,1.4417083499083108,-22.55592646481239,-12.277014072597686
7,[0111],4,[0100],0.0016366612111292963,147,-4.081202843099259,-23.763407292567052,-17.963100531341226
7,[0111],6,[0110],0.0024549918166939444,93,12.757287762449753,-6.617234115672117,-6.647494131474696
7,[0111],13,[1101],0.0024549918166939444,99,0.25330452259349484,6.255175918994987,-0.33488326651193123
7,[0111],2,[0010],0.0008183306055646482,129,29.401865690225847,-18.038488281788048,-12.416042797700623
7,[0111],14,[1110],0.0024549918166939444,105,22.93555309671404,11.702969503792584,-0.256054642714858
7,[0111],10,[1010],0.0008183306055646482,150,40.69578491045935,0.23168873742328633,-7.150924150772465
15,[1111],11,[1011],0.0774693350548741,127,14.233803777074005,-10.045787641330303,-4.128787858946463
15,[1111],7,[0111],0.08134280180761781,128,-13.52162346355608,-16.2056639587401,-5.063800904648352
15,[1111],3,[0011],0.010974822466107165,89,1.778777054926125,-25.080266237239872,-9.72110526736153
15,[1111],5,[0101],0.003873466752743706,190,-26.490812882584745,-28.3796482066688,-12.156063955606639
15,[1111],14,[1110],0.010329244673983214,160,11.649980999134964,-3.771150955524572,-4.979145976336957
15,[1111],12,[1100],0.0012911555842479018,160,0.4193512417689217,-15.5936443642615,-11.467699369470857
15,[1111],10,[1010],0.0032278889606197547,193,29.149798047267197,-15.770778875970581,-11.61502192137808
15,[1111],13,[1101],0.010329244673983214,152,-11.93646884340011,-9.822391174910853,-5.165101900489766
15,[1111],9,[1001],0.0012911555842479018,123,2.080832155346302,-20.97988544840801,-9.675747765680548
15,[1111],4,[0100],0.0006455777921239509,190,-16.02297589534632,-39.68502184493702,-23.02785681702304
15,[1111],6,[0110],0.0006455777921239509,105,0.14559249424103982,-20.114623539808846,-10.668542959830223
